model,Application Usage,Database,Infrastructure,Networking,Security
autoarima,0.752,0.735,0.692,0.711,0.801
autoets,1.623,1.394,4.428,1.777,0.838
autotheta,1.037,1.054,0.984,0.945,0.955
chronos_bolt_base,0.45,0.395,0.484,0.409,0.611
chronos_bolt_small,0.453,0.394,0.493,0.416,0.621
moirai_1.1_base,0.425,0.378,0.464,0.381,0.597
moirai_1.1_large,0.432,0.383,0.48,0.386,0.586
moirai_1.1_small,0.441,0.387,0.481,0.393,0.617
seasonalnaive,1.0,1.0,1.0,1.0,1.0
time-moe-200M,0.617,0.584,0.733,0.615,0.747
time-moe-50M,0.63,0.578,0.731,0.619,0.772
timer,0.63,0.586,0.679,0.608,0.831
timesfm_2_0_500m,0.444,0.398,0.481,0.409,0.574
toto,0.377,0.33,0.401,0.342,0.501
visionts,0.683,0.613,0.688,0.615,0.875
